OID|DESCRIPTION|AMOUNT|RPT_ID
85133|Accrued Expenses|166262|548530
85134|Accrued Salaries|26726|548530
85135|Payroll Liabilities|3352|548530
85136|Real Estate Tax|13736|548531
85137|Payroll Related|5538|548531
85138|NONE|0|548534
85139|Payroll Liabilities|444|548535
85140|Payroll Withholdings not remitted at year end|10346|548540
85141|Employee Payroll Taxes Payable|1210|548542
85142|TENANT SECURITY DEPOSITS|84673|548543
85143|ESCROW DEPOSITS|97507|548544
85144|DEFERRED INCOME|296596|548544
85145|PAYROLL TAXES PAYABLE|2197|548544
85146|ACCRUED PAYROLL|3693|548548
85147|DUES RECEIVED IN ADVANCE|7814|548548
85148|TARGET JOB PAYABLE|10435|548548
85149|PAYROLL TAXES PAYABLE|5310|548548
85150|Transfers & Exchanges|923405|548549
85151|Publication Income Payable|27250|548549
85152|ACCRUED PAYROLL TAXES|983|548550
85153|Payroll Taxes Payable|6940|548554
85154|PAYROLL WITHHOLDINGS|2956|548556
85155|Withheld Payroll Taxes|435|548557
85156|Accrued Payroll Taxes Direct|771|548557
85157|Security Deposit|500|548557
85158|Due to related parties|84273|548559
85159|Security deposit payable|6935|548559
85160|Due to International for member contributions|1925|548559
85161|Other exchanges|23787|548559
85162|Payroll taxes payable|4151|548563
85163|New Use Held for Distribution|2683969|548564
85164|Subscriptions Deferred Income|17617|548564
85165|Accrued Expenses|109018|548564
85166|Exchanges Payable|10366|548564
85167|Collections Awaiting Disposition|5472|548564
85168|Deferred Rent and Premise Maintenance|33412|548564
85169|Accrued Payroll, Taxes and Other Deductions|232279|548564
85170|Refunds Due to Locals|2090|548564
85171|Payroll Taxes|290|548571
85173|state tax|588|548577
85175|fica tax|100|548577
85172|outstanding reg fee|375|548577
85174|unemployment tax|111|548577
85176|federal tax|70|548577
85177|940 4th quarter tax|111|548577
85178|941 4th quarter tax|718|548577
85179|Accrued Expenses|60139|548580
85180|Per Capita Taxes Payable|96600|548580
85181|PAYROLL  WITHHOLDINGS|736|548582
85182|Payroll withholdings|3701|548584
85183|Due to Connecticut Laborers' Political League|4902|548585
85184|ADMIN DUES WH|514|548589
85185|Card Center|4287|548594
85186|VISA|5253|548594
85187|Payroll Liabilities|430|548594
85188|DUE TO OP&CMIA COMBINED FUNDS OF WESTERN PA, INC.|4677|548598
85189|PAYROLL WITHHOLDINGS PAYABLE|4527|548598
85191|FICA|3570|548600
85190|Federal Taxes|6600|548600
85192|MECA|835|548600
85193|IA Taxes|1943|548600
85194|Payroll Taxes Withheld|9115|548602
85195|Due to related organization|43194|548602
85196|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|3139|548603
85197|Accrued Post-Retirement Benefits|523354997|548605
85198|Accrued Pension Costs|54521436|548605
85199|Deferred Revenue and Deposits|86829|548605
85200|Deferred Compensation-457 Plan|2110353|548605
85201|Payroll Withholding Deductions|396790|548605
85202|District Office-Educ. and PEC Funds|7817059|548605
85203|Accrued Convention|4297761|548605
85204|Accrued Benefits and Accrued Expenses|6756020|548605
85205|Restricted Investment Held in Escrow|324191|548605
85206|Local Union Refund Deductions|837574|548605
85207|Unapplied Dues and Fees|1137499|548605
85208|Escrow Funds Held for Inactive Local Unions|6371371|548605
85209|Accrued Salaries|6456|548606
85210|Accrued PR taxes|496|548606
85211|Accrued Vacation|762|548606
85212|PR deductions due|108|548606
85213|ESCROW FUNDS PAYABLE|16998|548608
85214|PAYROLL TAXES & WITHHOLDINGS PAYABLE|4549|548608
85215|PAYROLL TAX LIABILITIES|998|548611
85216|OBLIGATIONS UNDER CAPITAL LEASE|28764|548611
85217|Payroll Liabilities|3506|548612
85218|Due to Savings Accounts|1816|548612
85219|Other Payables and Pension Plan Contributions|5844|548612
85223|Committed Market Recovery|108253|548616
85224|Payroll Liabilities|6784|548618
85225|Life Insurance Withholding|17|548618
85226|Unpaid payroll tax liability|7892|548622
85227|UNREMITTED PAYROLL TAXES|1604|548625
85228|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|19773|548626
85229|PAYROLL TAXES AND WITHHOLDINGS PAYABLE|9944|548627
85230|PAYROLL TAXES|849|548628
85231|Payroll Liabilities Withheld|3258|548629
85232|CITY INCOME TAX|200|548635
85233|STATE INCOME TAX|1035|548635
85234|SUTA|647|548635
85235|FUTA|156|548635
85236|Accrued post-retirement benefits|9323075|548640
85237|Dues collected and payable to affiliated entities |906763|548640
85238|Accrued vacations|390865|548640
85239|Accrued severance|246762|548640
85240|Deferred revenue|37246|548640
85241|Prepaid member dues|37123|548641
85242|Employee Payroll deductions payable|19665|548641
85243|Security Deposit|2215|548641
85244|Payroll taxes to be remitted|150|548643
85245|Employee payroll withholdings|5125|548644
85246|Funds for transmittal for members|60|548644
85247|Deposits held in escrow|40|548644
85248|Payroll Taxes Withheld|9145|548645
85249|Other Payroll Withholdings|9424|548645
85250|Federal 941 Payroll Tax|2140|548646
85251|State WH-1 Payroll Tax|371|548646
85252|Federal 940 Unemployment Tax|504|548646
85253|State UC-1 Unemployment Tax|28|548646
85254|Payroll Tax Liabilities|10935|548648
85255|Payroll Liabilities - Union Assessments|21473|548648
85256|Dues received in advance|518733|548651
85257|C.O.P.E|568|548651
85258|Miscellaneous|22699|548651
85259|UAPEC Payable|690|548654
85260|Payroll Taxes Withheld|6489|548654
85261|Payroll Withholdings Payable|8548|548655
85262|Accrued Expenses|819008|548655
85263|Rebates Payable|382579|548655
85264|Contingency Funds Held|2667613|548656
85265|Cope and International Funds Withheld|9409|548656
85266|Dockworkers Defense Funds Held|2543|548656
85267|Payroll Withholding|24875|548656
85268|Contingency Other|9015|548656
85269|Rent Security Deposit|1200|548656
85270|Unexpended grant revenue|14780|548662
85271|Due to broker|7945|548662
85272|PAYROLL WITHHOLDINGS|4279|548663
85273|DUE TO GREAT PLAINS LABORERS' DISTRICT COUNCIL|12026|548663
85274|DUE TO AFFILIATED WELFARE FUND|69408|548664
85275|CONTINGENT LIABILITY|825000|548664
85276|PENSION & WELFARE|23596|548666
85277|INITIATION|100|548666
85278|CARDS & JOURNALS|2653|548666
85279|PER CAPITA TAX PAYABLE|50612|548666
85280|Payroll Withholdings|2477|548667
85281|Withheld and accrued withholding taxes|3590|548668
85282|Payroll tax withholdings payable|3765|548672
85283|Contractor cash bonds|24000|548672
85284|SECTION 457 DEFERRED COMP PLAN|831710|548674
85285|CHANGE IN MEMBERSHIP NOT DEPOSITED UNTIL 2014|827|548674
85286|RAFFLE SALES|4590|548674
85287|WITHHELD MEMBERS' DUES|17724|548674
85288|WITHHELD FEDERAL PAC DUES|550|548674
85289|WITHHELD HEALTH AND WELFARE ANNUITY|9534|548674
85290|VACATION SAVINGS CONTRIBUTION WITHHELD|20337|548674
85291|REFUNDABLE DUES|236897|548674
85292|WITHHELD PAYROLL TAXES|4257|548676
85293|PER CAPITA-DECEMBER COLLECTIONS|22670|548677
85294|WITHHELD P/R ITEMS|4173|548677
85295|ACCRUED SALARIES AND VACATION|302115|548678
85296|ACCRUED PENSION|21238|548678
85297|DEFERRED REVENUE - AFFILIATE SUPPORT|16362|548678
85298|PAYROLL WITHHOLDINGS|21837|548678
85299|DUE TO LMP TRUST|777648|548678
85300|941 PAYROLL TAX|1500|548681
85301|949 FUTA|46|548681
85302|MICHIGAN WITHHOLDING TAX|534|548681
85303|DETROIT WITHHOLDING TAX|267|548681
85304|STATE UNEMPLOYMENT TAX|5925|548681
85305|N/A|0|548682
85306|MEMBER TRAINING FUND|4255|548684
85307|PAYROLL LIABILITIES|4224|548684
85308|Due to Local 808 Health & Welfare Fund|27606|548685
85309|Due to Local 808 Pension Fund|533|548685
85310|Payroll withholdings|2576|548686
85311|DUES RECEIVED IN ADVANCE|281226|548687
85312|Due to UA PEC|19263|548689
85313|UNPAID PAYROLL TAXES OF THE LABOR ORGANIZATION|679|548692
85314|Payroll taxes payable|693|548693
85315|ACCRUED PAYROLL WITHHOLDINGS|4903|548697
85316|P-9 PENSION PLAN & TRUST|33884|548698
85317|Per Capita Payable|20530|548699
85318|Employer UC-2 / FUTA payable|97|548699
85319|Accrued Payroll Liabilities|5105|548702
85320|LEASE DEPOSITS - HOLDING CORP|86873|548704
85321|SECURITY DEPOSITS- FL LLC|6500|548704
85322|SECURITY DEPOSITS- NY LLC|15183|548704
85323|LOCAL IN TRUSTEESHIP|3483|548704
85324|DUE TO LOCALS|1746|548704
85325|IMIS REFUND|148|548704
85326|DUES OWED TO APWU LOCALS|2111125|548704
85327|ABS PREMIUMS OWED|112987|548704
85328|DUE TO NEVADA STATE ORG|6305|548704
85329|Payroll Tax and Dues Withheld|2595|548706
85330|PAYROLL WITHHOLDINGS|1933|548707
85331|Per capita payable|29275|548709
85332|Employee benefits payable|12152|548709
85333|Accrued payroll laibilities|437|548709
85334|Payroll taxes|1029|548710
85335|Funds held in escrow for the benefit of members|2754|548710
85336|PROPERTY TAXES PAYABLE|8974|548711
85337|Per Capita - Due to International Office|24260|548716
85338|PAYROLL WITHHOLDINGS WITHHELD BUT NOT DISBURSED|4004|548718
85339|PAYROLL WITHHOLDINGS|51620|548719
85340|TENANT SECURITY DEPOSITS|8451|548719
85341|AMOUNTS HELD IN ESCROW|230308|548719
85342|DISASTER RELIEF|35970|548719
85343|Credit card charges|406|548721
85345|Union dues|290|548724
85344|Payroll taxes|747|548724
85346|Payroll Taxes Payable|888|548729
85347|Payroll Taxes|2105|548731
85348|PAYROLL WITHHOLDINGS WITHHELD NOT REMITTED AT Y/E|5649|548732
85349|DUE TO PIPE FITTERS TRAINING FUND, LOCAL 597|4708|548732
85350| NYS UNEMPLOYMENT  TAXES|608|548734
85351|FEDERAL UNEMPLOYMENT TAXES |908|548734
85352|NYS INCOME TAXES|398|548734
85353|Payroll Taxes Withheld|750|548739
85354|Payroll Taxes Accrued - Federal & State|1067|548739
85355|Employee Retirement Accrued|47|548739
85356|Accrued expenses|1090|548743
85357|Dues payable|8225|548743
85358|Payroll Taxes due in Jan 2014|201|548745
85359|LEASE DEPOSIT FIRST ENTERTAIMENT|12876|548747
85360|LEASE DEPOSIT CORE CONDITIONING|4118|548747
85361|Accrued Vacation|238808|548748
85362|Accrued Payroll|61041|548748
85363|Accrued Payroll Taxes|8942|548748
85364|N/A|0|548750
85365|Due to Recording Fund - Escrow Monies|436161|548751
85366|Due to Claims Fund|41914|548751
85367|Deferred Income|304015|548751
85368|Officers Severance|52865|548751
85369|Item 46 & Item 63 Variance - Receipts due to ERF|30702|548751
85370|Item 46 & Item 63 Variance - Receipts due to Tempo|1351|548751
85371|Item 47 & Item 64 Variance - Receipts due to Rcdng|132289|548751
85372|Withheld payroll taxes|2672|548753
85373|Accrued Vacation Payable|231103|548755
85374|Payroll Liabilities|11431|548755
85375|ADVANCE FROM BUILDING CORPORATION|48364|548758
85376|PAYROLL TAX LIABILITIES|518|548759
85377|Payroll Liabilities|9220|548763
85378|International Per Capita Payable|403663|548763
85379|Accrued Expenses Payable|1782|548763
85380|DUE TO AFFILIATES|14182|548765
85381|International Per Capita Tax|73491|548768
85382|DUE TO GROUP INSURANCE|296073|548772
85383|PAYROLL WITHHOLDING PAYABLE AND DUES EXCHANGE|132699|548772
85384|LOCAL SERVICE TAX|20|548773
85385|PAYROLL LIABILITIES|728|548775
85386|UNUSED SICK AND VACATION PAY PAYABLE|82052|548777
85387|Payroll withheld payable|1575|548785
85388|Payroll clearing|924|548785
85390|Security Deposit|2478|548790
85391|UNPAID PAYROLL DEDUCTIONS|8|548794
85392|SEVERANCE LIABILITY|466489|548796
85393|CONTRACTOR CASH BONDS|869135|548799
85394|PAYROLL TAXES AND WITHHOLDINGS|2185|548799
85395|EMPLOYEE UNPAID VACATION TIME EARNED|141902|548800
85396|EMPLOYEE TAX WITHHOLDINGS|2220|548800
85397|Payroll taxes payable|420|548801
85398|DEC. 2013 INITIATION FEES PAYABLE TO FEDERATION|910|548802
85399|TEMPO FEES FROM MEMBERS PAYABLE TO FEDERATION|484|548802
85400|MEMEBERSHIP OVERPAYMENT OF WORK DUES|29724|548802
85401|FUNDS COLLECTED ON BEHALF OF MEMBERS, ESCROW FUND|30602|548802
85402|FUNDS COLLECTED ON BEHALF OF MEMBERS, COM. NEW USE|24698|548802
85403|PAYROLL WITHHOLDINGS, 403(B) PLAN|230|548802
85404|PAYROLL WITHHOLDINGS, UNION DUES|518|548802
85405|DECEMBER 2013 DUES PAYABLE TO MUSICIANS CLUB|3676|548802
85406|4TH QTR 2013 PER CAPITA DUES PAYABLE TO FEDERATION|94683|548802
85407|DECEMBER 2013 WORK DUES PAYABLE TO FEDERATION|50638|548802
85408|2014 PREPAID PER CAPITA MEMBERSHIP DUES|106829|548802
85409|DECEMBER 2013 PENSION LIABILITY FOR EMPLOYEES|10153|548802
85410|NOVEMBER & DECEMBER 2013 LEGAL FEES PAYABLE|31963|548802
85411|GENERAL OPERATING EXPENSES PAYABLE|14229|548802
85412|Credit Union Deduction Payable|200|548803
85413|PAYROLL TAXES PAYABLE|1374|548804
85414|DEPOSITS HELD FOR OTHERS|21550|548806
85415|PAYROLL WITHHOLDINGS|2897|548807
85416|Payroll Liabilities: 401K Employee Contribution|75|548810
85417|Payroll Liabilities: International Union Dues|80|548810
85418|Payroll Liabilities: Local Union Dues|525|548810
85419|Payroll Liabilities: Federal Withholding Tax|1038|548810
85420|Payroll Liabilities: Employee Medicare Tax|123|548810
85421|Payroll Liabilities: Employee Social Security Tax|525|548810
85422|Payroll Liabilities: State Income Tax|626|548810
85423|Payroll Liabilities: Workers Benefit Fund|12|548810
85424|Payroll Liabilities: Employee Vacation Fund|480|548810
85425|PAYROLL LIABILITIES|70785|548812
85426|Payroll Taxes Payable|2228|548813
85427|Payroll Tax Liabilities|943|548814
85428|PAYROLL WITHHOLDINGS PAYABLE|283|548816
85429|LOCALS WITH CREDIT BALANCES FOR PER CAPITA TAX|140816|548824
85430|PAYROLL WITHHOLDING|68887|548824
85431|FUND IN ESCROW|11651|548824
85432|AMOUNT OWED FOR INVESTMENT PURCHASES|646526|548824
85433|PAYROLL LIABILITIES|13563|548825
85434|Due to affiliates |7310|548827
85435|n/a|0|548831
85436|DEATH BENEFIT PAYABLE|49862|548832
85437|MEMBER SAVINGS PAYABLE|327625|548832
85438|SECURITY DEPOSIT|14733|548832
85439|PENSION CONTRIBUTION LIABILITY|174125|548834
85440|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|4190|548835
85441|ACTIVE BALLOT CLUB CHECKOFF NOT REMITTED AT YR END|1901|548835
85442|school district income tax forwarded|4|548836
85443|fica, employer, OASDI and HI forwarded|715|548836
85444|city tax forwarded|234|548836
85445|state workers compensation forwarded|117|548836
85446|941 federal income tax forwarded|1063|548836
85447|Accrued Payroll|7980|548837
85448|Accrued Employee Withholding|7295|548837
85449|Accrued Payroll Taxes|3940|548837
85450|Deferred Compensation - Liabilities|1779768|548838
85451|Payroll Withholding|25|548839
85452|Accrued Payroll Liability|397|548840
85453| 4th Qtr. 2012 EIT|625|548844
85454|4th Qtr .2012 FUTA|63|548844
85455|4th Qtr. 2012 Dues|411|548844
85456|4th Qtr. State Tax|128|548844
85457|4th Qtr. Emp. Tax|2866|548844
85458|Payroll liabilities|13235|548846
85459|Due to United Association|12619|548846
85460|Due to Members|110420|548846
85461|Per capita taxes payable|19588|548849
85462|Vacation liability|41649|548849
85463|Due to benefit funds|7289|548849
85464|Accrued compensated absences|68886|548850
85465|Accrued payroll taxes and withholding|16159|548850
85466|Due to International office|22747|548850
85467|State Income Tax Withheld|30|548853
85468|Union Dues Payable|680|548853
85469|Savings Account Payable|600|548853
85470|Unclaimed Savings Account|11435|548853
85471|Pension Fund payable|101416|548855
85472|Accrued UBI tax|7230|548855
85473|Accrued and withheld payroll taxes|12861|548855
85474|Accrued property taxes and other|7667|548855
85475|ACCRUED PAYROLL TAXES AND LIABILITIES|1017|548858
85476|Payroll tax liabilities|680|548861
85477|PENSION- HEALTH & WELFARE PAYABLE|49762|548863
85478|DUE TO REGIONAL ORGANIZING|87195|548863
85479|DUES COLLECTED AND PAYABLE TO LOCALS|952549|548863
85480|SECURITY DEPOSITS|1793|548863
85481|Accrued Severance Liability|5000|548866
85482|PAYROLL WITHHOLDINGS|3438|548867
85485|PAYROLL TAXES WITHHELD AND ACCRUED|1563|548880
85486|SICK AND ANNUAL LEAVE PAYABLE|52172|548880
85487|RENT REC'D IN ADVANCE|1795|548880
85488|Due to ILWU|38601|548881
85489|Accrued Vacation and Other Expenses|772706|548881
85490|Advance from Locals|148122|548881
85491|EMPLOYEE WITHHOLDING|3240|548891
85492|PAYROLL LIABILITIES|3595|548895
85493|SECURITY DEPOSITS|16370|548895
85494|Due to Local 103 Employee Benefit Plan|116716|548896
85495|Accrued Expenses|59869|548908
85496|Accrued Vacation|298970|548908
85497|Accrued Severance|330380|548908
85498|Accrued Post-Retirement Benefits|8857458|548908
85499|DUE TO IBEW|25092|548911
85500|DUE TO CJATC|26099|548911
85501|DUE TO CEBA|975|548911
85502|PAYROLL TAXES PAYABLE|5012|548922
85503|DUE TO MDA|1901|548922
85504|KEY DEPOSIT PAYABLE|130|548922
85505|PAYROLL LIABILITIES|87|548924
85506|401K LIABILITY|150|548925
85507|DUE TO AFFILIATE|4027|548925
85508|National Div Dues 38, 101, 332, 365, 698 Nov - Dec|24969|548928
85509|Local Div Dues 38, 101, 332, 365, 698 Nov -Dec|6883|548928
85510|State Leg Boards AL, GA, KY, VA, WV Nov - Dec|17885|548928
85511|Health Insurance Liability|16837|548929
85512|Disability Insurance Trust Liability|7061|548929
85513|Due to PAC Fund|51672|548929
85514|BLET Memorial Fund|3926|548929
85515|Dues Objector Liability|25770|548929
85516|BLET Strike and Mobilization Fund|9089|548929
85517|BLET Convention Fund|3480256|548929
85518|Cafeteria Plan |14717|548929
85519|Non-exclusive Education & Training Fund|127068|548929
85520|Payroll liabilities|1738|548935
85521|Employee payroll deductions|29110|548937
85522|Collections for employers for industry workers|9890|548937
85523|Collections payable educational activities|120712|548937
85524|Due to TIP|196649|548937
85525|Tenant securities|816390|548937
85526|Sales Tax|4427|548937
85531|FEDERAL & FICA W/H TAXES PAYABLE|1437|548938
85527|GEORGIA W/H TAXES PAYABLE|2052|548938
85528|DEATH BENEFIT FUND|47046|548938
85529|EMPLOYEE VACATION SAVING WITHHOLDING|256|548938
85530|EMPLOYEE INSURANCE PREMIUM WITHHOLDING|38|548938
85532|Accrued expenses|43573|548940
85533|Due to related entities|289700|548940
85534|Other|1628|548940
85535|Payroll Withholding|17792|548943
85536|Fringe Benefits Withheld|980|548950
85537|Contract Payable Building Improvements|31370|548950
85538|FUTA  Taxes|771|548954
85539|SUTA Taxes|743|548954
85540|SEVERANCE PAYABLE|478309|548960
85541|PAYROLL TAXES PAYABLE|9425|548960
85542|STRIKE BENEFITS PAYABLE|896730|548960
85543|PAYROLL WITHHOLDINGS|2475|548965
85544|PAYROLL TAXES AND WITHHOLDINGS|3210|548981
85545|Tenant Deposits|3595|548983
85546|Deferred Rent|20091|548988
85547|Deferred Leasehold Improvements|144805|548988
85548|Payroll Liabilities|1368|548989
85549|Payroll withholdings|473|548992
85550|Deferred rental income|364|548992
85551|Escrow security deposits|46732|548992
85552|Accrued severance liabilites|1720983|548992
85555|RENT RECEIVED IN ADVANCE|2783|548994
85556|PAYROLL TAXES|9681|548994
85557|DUE TOJACK SIKMA|2000|548997
85558|Iowa Inc. Tax Withholdings - Officers & Employee|112|548998
85559|Officer and Employees Dues|113|548998
85560|Federal Income Tax and Withholding |1413|548998
85561|Payroll Withholding Liabilities|2758|549000
85562|PER CAPITA ASSESSMENT-INT'L BROTHERHOOD|20227|549001
85563|PER CAPITA ASSESSMENT-JOINT COUNCIL OF TEAMSTERS|3750|549001
85564|ACCRUED VACATION|17439|549001
85565|Payroll Taxes Payable|1710|549003
85566|Payroll liabilities|2911|549005
85567|Withdrawel liability to GCIU Emp. Retirement Fund|108073|549005
85568|ACCRUED LIABILITIES|5395|549008
85569|ACCRUED PAYROLL|15576|549008
85570|PAYROLL TAXES AND OTHER WITHHOLDINGS|1919|549009
85571|RENT DEPOSITS|200|549009
85572|DUE TO D.C. 9|14936|549011
85573|Vacation and Sick Payable|28497|549015
85574|DEFERRED MEMBERSHIP DUES|330229|549017
85575|PAYROLL LIABILITIES|17208|549017
85576|FICA Taxes Payable|1807|549023
85577|Federal Payroll Withholding Taxes Payable|1221|549023
85578|State Payroll Withholding Taxes Payable|1387|549023
85579|C.O.P.E. Payroll Withholding Payable|141|549023
85580|Payroll withholdings|4007|549024
85581|Due to IBEW COPE|6737|549024
85582|Due to National Grid |52084|549024
85583|COPE FUND LIABILITY|1059|549027
85584|PAYROLL LIABILITIES|985|549027
85585|UNDISBURSED PAYROLL LIABILITIES|1435|549028
85586|Dues Payable|5497191|549030
85587|Funds for transmittal|1272|549031
85588|W/C Assessment|26|549031
85589|Checks Outstanding - Regular Bills|9385|549032
85590|Checks Outstanding - Payroll|239|549032
85591|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|2705|549035
85592|AMOUNT DUE TO LOCAL UNION #630|31712|549036
85593|ACCRUED VACATION|870226|549037
85594|LEASE DEPOSITS|4566|549037
85595|Payroll Withholdings|4042|549041
85596|INCOME TAX WITHHOLDINGS|2972|549042
85597|FICA WITHHOLDINGS|1308|549042
85598|FUTA WITHHOLDINGS|100|549042
85599|SUTA WITHHOLDINGS|265|549042
85600|ACCRUED WORKER'S COMP|1682|549042
85601|MISC PAYROLL WITHHOLDINGS|3129|549042
85602|UNCASHED CHECKS|3688|549042
85603|ACCRUED PER CAPITA|47697|549042
85604|DUE TO INTERNATIONAL ORGANIZATION|94068|549046
85605|UNREMITTED 401(K)|2009|549046
85606|DUE TO PAC|3874|549046
85607|CITY OF COLLINSVILLE WATER DEPARTMENT|955|549046
85608|UNREMITTED UNION DUES|804|549046
85609|UNEMPLOYMENT TAXES|329|549046
85610|Due to affiliates |23824|549048
85611|Payroll withholding liabilities|2132|549048
85612|LOCAL UNION #1 IUBAC|29342|549052
85613|PAYROLL TAXES WITHHELD|3548|549053
85614|Payroll Taxes Payable|1340|549062
85621|Unearned dues revenue|19740|549066
85622|Payroll withholdings|15060|549066
85623|Fringe benefit escrow|34457|549066
85624|PAYROLL LIABILITIES|1417|549067
85625|DEPOSITS HELD|4000|549068
85626|Employee Deferred Compensation Plan|41083|549070
85627|Vacation Accrual|88400|549070
85628|Per Capita Tax Payable|167377|549070
85629|Other|858|549070
85630|federal income tax (941)|730|549071
85631|fica-employee oasdi and hi foward|650|549071
85632|state income tax foward|156|549071
85633|fica, employer oasdi and hi (941)|650|549071
85634|unemployment taxes, federal|332|549071
85635|enemployment taxes, state|88|549071
85636|Miscellaneous Payroll Withholdings Payable|185|549073
85637|PAC Money Payable|60|549073
85638|Underpaid Health & Welfare Benefits|180|549073
85639|UNREMITTED PAC CONTRIBUTIONS|22882|549074
85640|REAL ESTATE TAXES PAYABLE|89585|549074
85641|DUES COLLECTED IN ADVANCE|1971631|549074
85642|PER CAPITA TAXES PAYABLE|4937|549074
85643|ACCRUED PENSION LIABILITY|5349851|549074
85644|PAYROLL LIABILITIES WITHHELD|3735|549074
85645|PAYROLL PAYABLE|36165|549074
85646|GROUP INSURANCE PAYABLE - ESTIMATE|130000|549074
85647|Payroll Tax Liability|5350|549075
85648|941 Federal Taxes Forwarded|1322|549076
85649|FICA Taxes Forwarded|2846|549076
85650|State Income Taxes Forwarded|280|549076
85651|940 Federal Unemployment Taxes Forwarded|462|549076
85652|State Unemployment Taxes Forwarded|791|549076
85653|ACCRUED SALARIES|23681|549077
85654|TENANT SECURITY DEPOSIT|21313|549077
85655|Payroll Liabilities and Withholdings|4244|549078
85656|Deferred Dues from Members|15655|549079
85657|Members Prepaid Work Dues|4060|549079
85658|Members Contributions to Piano Maintanence|3045|549079
85659|Members Group Health Plan Payments|2336|549079
85660|Members Regional Orchestra Players Assoc. Dues|918|549079
85661|Money Received as result of Merger with Local 153|7935|549079
85662|Crary Scholarship Fund received from Merger L153|21295|549079
85663|Money advanced from Smartspace for construction|47186|549079
85664|Money from Members Events and/or Donations|1855|549079
85665|Payroll taxes payable|55|549079
85666|None|0|549080
85667|PAYROLL TAXES PAYABLE|2724|549081
85668|SECURITY DEPOSIT|5113|549083
85669|ACCRUED WAGES AND PAYROLL TAXES PAYABLE|95596|549083
85670|VACATION AND SICK TIME PAYABLE|235994|549083
85671|DEFERRED REVENUE- UNEARNED DUES|970|549083
85672|Due to Inter Local Pension Fund|1848|549085
85673|Payroll Taxes Payable|1803|549085
85674|Tenant security deposit payable|1050|549086
85675|Deferred revenue|353420|549086
85676|Due to related funds|772207|549086
85677|Due to ETER|314500|549086
85678|Due to SMART|39757|549086
85679|Estimated settlement for back-pay award post 1991|3634979|549086
85680|Capital lease obligation|77467|549086
85681|PAYROLL TAXES PAYABLE|6290|549090
85682|PAYROLL WITHHOLDINGS|3857|549094
85683|DUE TO AFFILIATES|344720|549094
85684|Payroll Taxes Payable|1316|549097
85685|Payroll Taxes Payable (TPS)|21081|549097
85686|Accrued Expenses Payable|2333|549097
85687|Health & Welfare Benefits Payable|97891|549097
85688|Pension Benefits Payable|52927|549097
85689|SECURITY DEPOSITS HELD|4369|549098
85690|DEFERRED COMPENSATION|896996|549100
85691|SECURITY DEPOSIT|47250|549100
85692|PAYROLL WITHHOLDINGS|22293|549103
85693|LEASE DEPOSIT|2303|549103
85694|ESTIMATED VACATION AND SICK LEAVE PAYABLE|90000|549103
85695|ACCRUED WAGES|5220|549106
85696|ACCRUED PAYROLL TAXES|855|549106
85697|PAYROLL BENEFITS PAYABLE|9378|549106
85698|EMPLOYEE BENEFITS PAYABLE|5962|549106
85699|TENANT DEPOSITS|10000|549107
85700|PAYROLL WITHHOLDINGS|2947|549107
85701|PER CAPITA TAXES INTERNATIONAL|46521|549112
85702|PER CAPITA TAXES SOUTHWESTERN STATES|5618|549112
85703|Federal Tax Withholdings|2132|549113
85704|Kentucky Tax Withholdings|428|549113
85705|Accrued Futa |265|549113
85706|Accrued Kentucky Unemployment|11|549113
85707|Payroll Taxes Withholding Payable|3310|549114
85708|Vacation and Dues Withholding Payable|20460|549114
85709|Vacation Payable|22318|549115
85710|Accrued sick time|7568|549116
85711|Accrued audit fees|5000|549116
85712|Payroll taxes payable|1275|549116
85713|BENEFITS-EMPLOYEE W/H|5822|549122
85714|PER CAPITA TAX PAYABLE|56428|549122
85715|PENSION PAYABLE|6673|549122
85716|MEDICAL BENEFITS PAYABLE|9105|549122
85717|Payroll liabilities to be forward|5100|549123
85718|Accounts Payable|2038|549125
85719|First Citizens Visa Credit Card|750|549125
85720|Payroll Taxes|1134|549125
85721|Internationl Dues Withheld|660|549125
85722|Member's Contingency Fund Savings|501532|549125
85723|Deferred Revenue|2298|549131
85724|457 Plan|10420|549131
85725|Family Assistance Awareness Fund|4889|549131
85726|Payroll-related Liabilities|2376992|549131
85727|Payroll Withholding Payable|146|549134
85728|Credit Cards Payable|11938|549135
85729|PAYROLL WITHOLDINGS|953|549140
85730|ACCRUED TIME OFF|533000|549140
85731|NONE|0|549142
85732|ACCRUED PAYROLL LIABILITIES|1323|549145
85733|Payroll Taxes/Deductions Payable & Deferred Subsid|283561|549146
85734|Payroll taxes and employee benefits payable|27992|549147
85735|Accrued Vacation|72000|549148
85736|Payroll Withholdings|410|549148
85737|Payroll Liabilities|2832|549151
85738|Organizing contributions withheld|200|549152
85739|Savings contribution withheld|50|549152
85740|PER CAPITA TAXES RECEIVED ON BEHALF OF AFFILIATES|41500|549155
85741|Payroll Witholdings Payable|2328|549156
85742|PER CAPITA TAXES RECEIVED ON BEHALF OF AFFILIATES|43298|549157
85743|FED PAC PAYABLE|16|549159
85744|VACATION PAYABLE|400|549159
